area_name,area_code,date,new_cases,total_cases
Havering,E09000016,2021-05-10,8,26945
Hillingdon,E09000017,2021-05-10,15,26782
Hounslow,E09000018,2021-05-10,26,25128
Islington,E09000019,2021-05-10,4,15077
Kensington and Chelsea,E09000020,2021-05-10,5,9115
Kingston upon Thames,E09000021,2021-05-10,8,12325
Lambeth,E09000022,2021-05-10,9,24336
Lewisham,E09000023,2021-05-10,10,21751
Merton,E09000024,2021-05-10,9,16322
Newham,E09000025,2021-05-10,6,35683
Redbridge,E09000026,2021-05-10,16,33038
Richmond upon Thames,E09000027,2021-05-10,5,10934
Southwark,E09000028,2021-05-10,3,22532
Sutton,E09000029,2021-05-10,5,15985
Tower Hamlets,E09000030,2021-05-10,10,29020
Waltham Forest,E09000031,2021-05-10,12,25004
Wandsworth,E09000032,2021-05-10,12,22325
Westminster,E09000033,2021-05-10,11,14364
Barking and Dagenham,E09000002,2021-05-11,1,23678
Barnet,E09000003,2021-05-11,14,30616
Bexley,E09000004,2021-05-11,6,22452
Brent,E09000005,2021-05-11,13,28786
Bromley,E09000006,2021-05-11,7,24455
Camden,E09000007,2021-05-11,2,14207
Croydon,E09000008,2021-05-11,15,31060
Ealing,E09000009,2021-05-11,19,31421
Enfield,E09000010,2021-05-11,10,29870
Greenwich,E09000011,2021-05-11,8,22511
Hackney and City of London,E09000012,2021-05-11,2,21764
Hammersmith and Fulham,E09000013,2021-05-11,7,13098
Haringey,E09000014,2021-05-11,6,20898
Harrow,E09000015,2021-05-11,12,20990
Havering,E09000016,2021-05-11,3,26948
Hillingdon,E09000017,2021-05-11,21,26803
Hounslow,E09000018,2021-05-11,28,25156
Islington,E09000019,2021-05-11,8,15085
Kensington and Chelsea,E09000020,2021-05-11,6,9121
Kingston upon Thames,E09000021,2021-05-11,2,12327
Lambeth,E09000022,2021-05-11,16,24352
Lewisham,E09000023,2021-05-11,10,21761
Merton,E09000024,2021-05-11,5,16327
Newham,E09000025,2021-05-11,9,35692
Redbridge,E09000026,2021-05-11,5,33043
Richmond upon Thames,E09000027,2021-05-11,1,10935
Southwark,E09000028,2021-05-11,9,22541
Sutton,E09000029,2021-05-11,2,15987
Tower Hamlets,E09000030,2021-05-11,10,29030
Waltham Forest,E09000031,2021-05-11,4,25008
Wandsworth,E09000032,2021-05-11,9,22334
Westminster,E09000033,2021-05-11,7,14371
Barking and Dagenham,E09000002,2021-05-12,1,23679
Barnet,E09000003,2021-05-12,5,30621
Bexley,E09000004,2021-05-12,4,22456
Brent,E09000005,2021-05-12,13,28799
Bromley,E09000006,2021-05-12,8,24463
Camden,E09000007,2021-05-12,2,14209
Croydon,E09000008,2021-05-12,14,31074
Ealing,E09000009,2021-05-12,11,31432
Enfield,E09000010,2021-05-12,5,29875
Greenwich,E09000011,2021-05-12,10,22521
Hackney and City of London,E09000012,2021-05-12,3,21767
Hammersmith and Fulham,E09000013,2021-05-12,9,13107
Haringey,E09000014,2021-05-12,5,20903
Harrow,E09000015,2021-05-12,7,20997
Havering,E09000016,2021-05-12,4,26952
Hillingdon,E09000017,2021-05-12,9,26812
Hounslow,E09000018,2021-05-12,24,25180
Islington,E09000019,2021-05-12,1,15086
Kensington and Chelsea,E09000020,2021-05-12,6,9127
Kingston upon Thames,E09000021,2021-05-12,3,12330
Lambeth,E09000022,2021-05-12,7,24359
Lewisham,E09000023,2021-05-12,14,21775
Merton,E09000024,2021-05-12,4,16331
Newham,E09000025,2021-05-12,6,35698
Redbridge,E09000026,2021-05-12,4,33047
Richmond upon Thames,E09000027,2021-05-12,3,10938
Southwark,E09000028,2021-05-12,4,22545
Sutton,E09000029,2021-05-12,6,15993
Tower Hamlets,E09000030,2021-05-12,4,29034
Waltham Forest,E09000031,2021-05-12,7,25015
Wandsworth,E09000032,2021-05-12,8,22342
Westminster,E09000033,2021-05-12,8,14379
Barking and Dagenham,E09000002,2021-05-13,5,23684
Barnet,E09000003,2021-05-13,8,30629
Bexley,E09000004,2021-05-13,8,22464
Brent,E09000005,2021-05-13,14,28813
Bromley,E09000006,2021-05-13,9,24472
Camden,E09000007,2021-05-13,2,14211
Croydon,E09000008,2021-05-13,14,31088
Ealing,E09000009,2021-05-13,10,31442
Enfield,E09000010,2021-05-13,6,29881
Greenwich,E09000011,2021-05-13,14,22535
Hackney and City of London,E09000012,2021-05-13,3,21770
Hammersmith and Fulham,E09000013,2021-05-13,5,13112
Haringey,E09000014,2021-05-13,7,20910
Harrow,E09000015,2021-05-13,10,21007
Havering,E09000016,2021-05-13,5,26957
Hillingdon,E09000017,2021-05-13,13,26825
Hounslow,E09000018,2021-05-13,18,25198
Islington,E09000019,2021-05-13,2,15088
Kensington and Chelsea,E09000020,2021-05-13,5,9132
Kingston upon Thames,E09000021,2021-05-13,11,12341
Lambeth,E09000022,2021-05-13,15,24374
Lewisham,E09000023,2021-05-13,15,21790
Merton,E09000024,2021-05-13,2,16333
Newham,E09000025,2021-05-13,3,35701
Redbridge,E09000026,2021-05-13,0,33047
Richmond upon Thames,E09000027,2021-05-13,6,10944
Southwark,E09000028,2021-05-13,9,22554
Sutton,E09000029,2021-05-13,8,16001
Tower Hamlets,E09000030,2021-05-13,4,29038
Waltham Forest,E09000031,2021-05-13,2,25017
Wandsworth,E09000032,2021-05-13,6,22348
Westminster,E09000033,2021-05-13,7,14386
Barking and Dagenham,E09000002,2021-05-14,5,23689
Barnet,E09000003,2021-05-14,6,30635
Bexley,E09000004,2021-05-14,4,22468
Brent,E09000005,2021-05-14,9,28822
